,frame,n_masks,mask_area,mask_centroid,mask_conf,mask_strength,bbox_id,bbox_area,bbox_centroid,bbox_dim
1,58.0,3.0,4148.0,"[161.0, 321.0]",0.953826,143.38,1.0,6045.0,"[158.0, 315.0]","[65.0, 93.0]"
2,58.0,3.0,1549.0,"[245.0, 252.0]",0.8439691,164.4,2.0,2280.0,"[246.0, 257.0]","[38.0, 60.0]"
0,59.0,4.0,597.0,"[304.0, 201.0]",0.814716,172.64,5.0,891.0,"[306.0, 201.0]","[27.0, 33.0]"
1,59.0,4.0,7614.0,"[155.0, 321.0]",0.6459727,144.37,1.0,7622.0,"[155.0, 322.0]","[74.0, 103.0]"
2,59.0,4.0,1348.0,"[249.0, 245.0]",0.75113404,164.74,2.0,2107.0,"[246.0, 249.0]","[43.0, 49.0]"
3,59.0,4.0,9202.0,"[158.0, 306.0]",0.870105,150.06,37.0,10112.0,"[160.0, 301.0]","[79.0, 128.0]"
0,60.0,4.0,639.0,"[304.0, 202.0]",0.8367744,172.57,5.0,864.0,"[306.0, 202.0]","[27.0, 32.0]"
1,60.0,4.0,7155.0,"[155.0, 316.0]",0.6300952,145.7,1.0,8393.0,"[154.0, 321.0]","[77.0, 109.0]"
2,60.0,4.0,1647.0,"[247.0, 252.0]",0.85724545,164.63,2.0,2508.0,"[247.0, 254.0]","[44.0, 57.0]"
3,60.0,4.0,8140.0,"[156.0, 302.0]",0.90949166,150.12,37.0,11004.0,"[159.0, 301.0]","[84.0, 131.0]"
0,61.0,3.0,857.0,"[305.0, 199.0]",0.92077994,171.94,5.0,1036.0,"[306.0, 200.0]","[28.0, 37.0]"
1,61.0,3.0,5226.0,"[155.0, 325.0]",0.25196752,142.13,1.0,7622.0,"[152.0, 325.0]","[74.0, 103.0]"
2,61.0,3.0,7384.0,"[156.0, 306.0]",0.9500857,148.49,37.0,10790.0,"[159.0, 306.0]","[83.0, 130.0]"
0,62.0,3.0,908.0,"[305.0, 198.0]",0.85426193,171.57,5.0,1102.0,"[306.0, 199.0]","[29.0, 38.0]"
1,62.0,3.0,2895.0,"[161.0, 301.0]",0.81105703,148.97,1.0,4959.0,"[160.0, 312.0]","[57.0, 87.0]"
2,62.0,3.0,1747.0,"[245.0, 252.0]",0.9508499,164.37,2.0,2580.0,"[245.0, 256.0]","[43.0, 60.0]"
0,63.0,3.0,882.0,"[303.0, 198.0]",0.79357624,171.31,5.0,1170.0,"[305.0, 199.0]","[30.0, 39.0]"
1,63.0,3.0,1930.0,"[164.0, 301.0]",0.9431014,149.71,1.0,3268.0,"[165.0, 306.0]","[43.0, 76.0]"
2,63.0,3.0,1560.0,"[244.0, 252.0]",0.92366713,164.37,2.0,2400.0,"[243.0, 256.0]","[40.0, 60.0]"
0,64.0,4.0,727.0,"[306.0, 199.0]",0.69250005,172.25,5.0,1102.0,"[306.0, 198.0]","[29.0, 38.0]"
1,64.0,4.0,3815.0,"[161.0, 310.0]",0.71219057,146.38,1.0,4116.0,"[161.0, 310.0]","[49.0, 84.0]"
2,64.0,4.0,1405.0,"[245.0, 254.0]",0.92826474,164.48,2.0,2204.0,"[244.0, 258.0]","[38.0, 58.0]"
3,64.0,4.0,5050.0,"[160.0, 298.0]",0.6745196,150.46,37.0,7458.0,"[163.0, 297.0]","[66.0, 113.0]"
0,65.0,4.0,759.0,"[303.0, 198.0]",0.84545237,171.55,5.0,1064.0,"[305.0, 198.0]","[28.0, 38.0]"
1,65.0,4.0,2134.0,"[163.0, 311.0]",0.9713429,144.78,1.0,3525.0,"[164.0, 310.0]","[47.0, 75.0]"
2,65.0,4.0,1184.0,"[252.0, 241.0]",0.8875412,165.34,2.0,1716.0,"[249.0, 248.0]","[33.0, 52.0]"
3,65.0,4.0,2368.0,"[161.0, 313.0]",0.13959923,143.72,37.0,5610.0,"[162.0, 310.0]","[66.0, 85.0]"
